UID	BLANK	GWEIGHT	2A4SA	2A4SA(2)	2A0SB	2A0SA	2A4SB	2A10SB	2A10SB-20	1A17SA	1A17SA-12	2A0SB(2)	2C0SB	2C7SA	1A7SB	2A10SA	2C10SA
MR-5 MC-3 R-9 C-13		1	10677.81265	998.6006494	1317.674121	3963.526645	6138.598958	6396.58729	3536.616188	1395.460503	3386.784722	3959.360902	4548.23652	2493.829475	2694.679579	3677.176677	2753.871993
MR-5 MC-3 R-9 C-14		1	4321.827045	281.0091155	354.8502128	988.7555556	1904.422511	1995.030004	984.0631179	293.5706917	793.8766893	754.8599111	1060.545536	698.6651344	755.7698219	1043.433418	842.0887205
MR-5 MC-3 R-9 C-15		1	9005.355305	1124.742848	2273.92286	4707.843091	6239.415584	8911.230556	4108.467246	2019.308559	4535.229978	4431.45544	5124.669229	3786.021731	4670.268825	4092.336826	3017.949319
MR-5 MC-3 R-9 C-16		1	2616.972652	203.5558621	466.2113238	860.8333087	1158.503591	1533.786532	623.0456733	226.5575626	934.8975632	732.0296579	1057.463296	498.2785059	632.5455075	531.0102112	395.1839465
MR-5 MC-3 R-10 C-1		1	312.2709691	136.0384343	194.2693203	505.44733	622.9396825	644.3624396	633.4056225	312.5103542	663.6343741	510.536086	572.9659202	628.1401159	736.4398341	646.0763052	494.5127596
MR-5 MC-3 R-10 C-2		1	12071.38334	1160.033413	1541.95672	4576.260267	8101.90342	8128.419643	4553.427093	3385.669018	9376.364723	5442.939017	5518.547297	3913.431899	4228.242632	4408.702145	3814.791543
MR-5 MC-3 R-10 C-3		1	2219.461214	187.3930256	242.4892252	875.3040797	1225.122324	901.0341934	574.218902	441.8688024	1330.642333	1001.049306	1075.072264	221.3547994	337.6805443	557.5749215	410.3477102
MR-5 MC-3 R-10 C-4		1	4370.290295	708.5715341	1170.126103	2002.269003	3133.772253	2409.194024	1548.276515	1226.49681	2918.419935	2671.346405	2133.083066	1277.70364	1727.027549	1384.779116	1608.698795
MR-5 MC-3 R-10 C-5		1	747.4731114	221.6138614	419.8031627	776.1583878	1013.051045	501.730153	476.1047642	231.4356924	506.266817	932.0881869	856.8309601	1024.342041	705.2904488	428.2669416	463.0517751
MR-5 MC-3 R-10 C-6		1	2868.387583	431.2194636	589.874092	1805.478383	2881.330588	1795.484761	1413.952576	719.3576964	2440.169847	1937.59178	2172.00512	1266.039211	1655.739879	1367.598703	1258.656966
MR-5 MC-3 R-10 C-7		1	841.0044455	158.5694541	265.9580117	803.3516484	928.5231745	726.0029369	456.065942	254.5621406	1093.089601	1031.692218	999.0382514	252.4992019	289.5538054	485.5309588	377.2893906
MR-5 MC-3 R-10 C-8		1	874.0553041	50.93271476	354.51102	813.3161566	621.5684885	957.3194444	727.8140364	201.3793532	878.1067426	902.0405988	915.6679499	849.453532	892.1415874	797.1493478	610.8594203
MR-5 MC-3 R-10 C-9		1	994.8735755	174.1598495	384.0431072	814.5522279	912.8243464	769.8156362	652.3208828	265.6668786	630.1156827	785.43349	836.4284426	634.4993053	753.9468241	659.9281987	535.9063973
MR-5 MC-3 R-10 C-10		1	8901.086025	954.275218	1659.989744	4038.439249	5072.855418	4667.68105	3078.826196	1272.671164	4567.546967	4181.66068	4271.893569	2177.534891	2670.761535	2814.751812	2472.471014
